CellId,CellLabel,XPosPixel,YPosPixel,ZPosPixel,XPosMicron,YPosMicron,ZPosMicron,CellAreaMicron2,jagged1b,lfng,dla,ccnd1,notch1a,hey1,pcna,her4,id1,notch3,ascl1a,Feat_regions,Cyto12_MeanIntensity,Cyto12_StdIntensity,Cyto12_MedianIntensity,Cyto12_MeanNormalisedIntensity,Cyto12_StdNormalisedIntensity,Cyto12_MedianNormalisedIntensity,Cyto12_SumIntensity,Cyto12_SumNormalizedIntensity,Cyto13_MeanIntensity,Cyto13_StdIntensity,Cyto13_MedianIntensity,Cyto13_MeanNormalisedIntensity,Cyto13_StdNormalisedIntensity,Cyto13_MedianNormalisedIntensity,Cyto13_SumIntensity,Cyto13_SumNormalizedIntensity,CellAreaInMicron2,Gs,Mcm2
215,215,1475.597642,1965.324245,25,305.4487119,406.8221186,10,58.146093,9,1,3,3,1,6,4,13,6,15,6,1,888.9193073,729.0684882,657,inf,inf,inf,4825054,nan,564.5276345,928.6914419,307,91052.84427,149788.9422,49516.12903,3064256,494234838.7,58.146093,low,neg
216,216,1499.371601,1963.601208,25,310.3699215,406.4654502,10,56.732076,7,5,9,8,6,2,18,4,4,5,12,1,675.8549849,566.7460169,505,inf,inf,inf,3579328,nan,2927.054758,3083.468411,2431,472105.6062,497333.6147,392096.7742,15501682,2500271290,56.732076,neg,pos
217,217,1516.275053,1930.829424,25,313.868936,399.6816908,10,100.480905,6,4,11,1,4,4,16,12,6,9,7,1,815.4670576,491.9268902,703,inf,inf,inf,7649081,nan,984.3770789,866.8018694,736,158770.4966,139806.7531,118709.6774,9233457,1489267258,100.480905,low,neg
218,218,1548.871901,1908.329076,25,320.6164835,395.0241187,10,114.064038,5,6,1,2,8,12,5,27,20,16,0,1,2676.296488,1483.406937,2411.5,inf,inf,inf,28497205,inf,360.4708866,337.2197121,272,58140.46557,54390.27614,43870.96774,3838294,619079677.4,114.064038,high,neg
219,219,1597.160907,1896.546534,25,330.6123078,392.5851325,10,202.118733,9,9,9,4,7,16,8,43,13,36,7,1,4184.541923,2167.498753,4044,inf,inf,inf,78953937,nan,373.4580772,381.7637017,271,60235.17374,61574.7906,43709.67742,7046407,1136517258,202.118733,high,neg
220,220,1633.620469,1845.326937,25,338.1594371,381.9826759,10,120.577086,9,8,3,7,3,10,6,39,14,16,4,1,2421.919243,1810.130554,1930,inf,inf,inf,27261123,nan,321.0754264,461.3064138,219,51786.3591,74404.26029,35322.58065,3614025,582907258.1,120.577086,high,neg
221,221,1635.882883,1877.099099,25,338.6277568,388.5595135,10,4.756239,3,0,8,0,0,4,0,3,0,0,0,1,318.277027,465.2369176,181.5,inf,inf,inf,141315,nan,280.786036,232.4648897,228,45288.07033,37494.33705,36774.19355,124669,20107903.23,4.756239,neg,neg
222,222,1687.483716,1843.180665,25,349.3091292,381.5383977,10,124.990533,14,4,3,4,6,29,3,37,9,15,3,1,2845.758656,2061.87391,2338,inf,inf,inf,33204312,nan,358.5717347,417.8489469,246,57834.15075,67394.99144,39677.41935,4183815,674808871,124.990533,high,neg
223,223,1724.390716,1878.669225,25,356.9488783,388.8845296,10,117.234864,16,10,3,4,6,10,5,35,7,19,3,1,3677.250822,2060.886618,3401.5,inf,inf,inf,40243833,inf,385.3790205,412.5168404,273.5,62157.90653,66534.97426,44112.90323,4217588,680256129,117.234864,high,neg
224,224,1793.135375,1876.269763,25,371.1790227,388.3878409,10,173.452752,10,12,8,14,9,11,10,4,25,6,6,1,1766.145689,1640.601226,1170.5,inf,inf,inf,28597431,nan,302.1984313,619.3681189,182,48741.68247,99898.08369,29354.83871,4893197,789225322.6,173.452752,high,neg
